story_num,story_title,episode_title,director,writer,orig_uk_airdate,production_code,uk_viewers_millions,ai
56.0,The Mind of Evil,Episode Four,Timothy Combe,Don Houghton,1971-02-20,FFF,7.4,—
56.0,The Mind of Evil,Episode Five,Timothy Combe,Don Houghton,1971-02-27,FFF,7.6,—
56.0,The Mind of Evil,Episode Six,Timothy Combe,Don Houghton,1971-03-06,FFF,7.3,—
57.0,The Claws of Axos,Episode One,Michael Ferguson,Bob Baker and Dave Martin,1971-03-13,GGG,7.3,—
57.0,The Claws of Axos,Episode Two,Michael Ferguson,Bob Baker and Dave Martin,1971-03-20,GGG,8.0,—
57.0,The Claws of Axos,Episode Three,Michael Ferguson,Bob Baker and Dave Martin,1971-03-27,GGG,6.4,—
57.0,The Claws of Axos,Episode Four,Michael Ferguson,Bob Baker and Dave Martin,1971-04-03,GGG,7.8,—
58.0,Colony in Space,Episode One,Michael E. Briant,Malcolm Hulke,1971-04-10,HHH,7.6,—
58.0,Colony in Space,Episode Two,Michael E. Briant,Malcolm Hulke,1971-04-17,HHH,8.5,—
58.0,Colony in Space,Episode Three,Michael E. Briant,Malcolm Hulke,1971-04-24,HHH,9.5,—
58.0,Colony in Space,Episode Four,Michael E. Briant,Malcolm Hulke,1971-05-01,HHH,8.1,—
58.0,Colony in Space,Episode Five,Michael E. Briant,Malcolm Hulke,1971-05-08,HHH,8.8,—
58.0,Colony in Space,Episode Six,Michael E. Briant,Malcolm Hulke,1971-05-15,HHH,8.7,—
59.0,The Dæmons,Episode One,Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),1971-05-22,JJJ,9.2,—
59.0,The Dæmons,Episode Two,Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),1971-05-29,JJJ,8.0,—
59.0,The Dæmons,Episode Three,Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),1971-06-05,JJJ,8.1,—
59.0,The Dæmons,Episode Four,Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),1971-06-12,JJJ,8.1,—
59.0,The Dæmons,Episode Five,Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),1971-06-19,JJJ,8.3,—
60.0,Day of the Daleks,Episode One,Paul Bernard,Louis Marks,1972-01-01,KKK,9.8,—
60.0,Day of the Daleks,Episode Two,Paul Bernard,Louis Marks,1972-01-08,KKK,10.4,—
60.0,Day of the Daleks,Episode Three,Paul Bernard,Louis Marks,1972-01-15,KKK,9.1,—
60.0,Day of the Daleks,Episode Four,Paul Bernard,Louis Marks,1972-01-22,KKK,9.1,—
61.0,The Curse of Peladon,Episode One,Lennie Mayne,Brian Hayles,1972-01-29,MMM,10.3,—
61.0,The Curse of Peladon,Episode Two,Lennie Mayne,Brian Hayles,1972-02-05,MMM,11.0,—
61.0,The Curse of Peladon,Episode Three,Lennie Mayne,Brian Hayles,1972-02-12,MMM,7.8,—
61.0,The Curse of Peladon,Episode Four,Lennie Mayne,Brian Hayles,1972-02-19,MMM,8.4,—
62.0,The Sea Devils,Episode One,Michael E. Briant,Malcolm Hulke,1972-02-26,LLL,6.4,—
62.0,The Sea Devils,Episode Two,Michael E. Briant,Malcolm Hulke,1972-03-04,LLL,9.7,—
62.0,The Sea Devils,Episode Three,Michael E. Briant,Malcolm Hulke,1972-03-11,LLL,8.3,—
62.0,The Sea Devils,Episode Four,Michael E. Briant,Malcolm Hulke,1972-03-18,LLL,7.8,—
62.0,The Sea Devils,Episode Five,Michael E. Briant,Malcolm Hulke,1972-03-25,LLL,8.3,—
62.0,The Sea Devils,Episode Six,Michael E. Briant,Malcolm Hulke,1972-04-01,LLL,8.5,—
63.0,The Mutants,Episode One,Christopher Barry,Bob Baker and Dave Martin,1972-04-08,NNN,9.1,—
63.0,The Mutants,Episode Two,Christopher Barry,Bob Baker and Dave Martin,1972-04-15,NNN,7.8,—
63.0,The Mutants,Episode Three,Christopher Barry,Bob Baker and Dave Martin,1972-04-22,NNN,7.9,—
63.0,The Mutants,Episode Four,Christopher Barry,Bob Baker and Dave Martin,1972-04-29,NNN,7.5,—
63.0,The Mutants,Episode Five,Christopher Barry,Bob Baker and Dave Martin,1972-05-06,NNN,7.9,—
63.0,The Mutants,Episode Six,Christopher Barry,Bob Baker and Dave Martin,1972-05-13,NNN,6.5,—
64.0,The Time Monster,Episode One,Paul Bernard,Robert Sloman and Barry Letts (uncredited),1972-05-20,OOO,7.6,—
64.0,The Time Monster,Episode Two,Paul Bernard,Robert Sloman and Barry Letts (uncredited),1972-05-27,OOO,7.4,—
64.0,The Time Monster,Episode Three,Paul Bernard,Robert Sloman and Barry Letts (uncredited),1972-06-03,OOO,8.1,—
64.0,The Time Monster,Episode Four,Paul Bernard,Robert Sloman and Barry Letts (uncredited),1972-06-10,OOO,7.6,—
64.0,The Time Monster,Episode Five,Paul Bernard,Robert Sloman and Barry Letts (uncredited),1972-06-17,OOO,6.0,—
64.0,The Time Monster,Episode Six,Paul Bernard,Robert Sloman and Barry Letts (uncredited),1972-06-24,OOO,7.6,—
65.0,The Three Doctors,Episode One,Lennie Mayne,Bob Baker and Dave Martin,1972-12-30,RRR,9.6,—
65.0,The Three Doctors,Episode Two,Lennie Mayne,Bob Baker and Dave Martin,1973-01-06,RRR,10.8,—
65.0,The Three Doctors,Episode Three,Lennie Mayne,Bob Baker and Dave Martin,1973-01-13,RRR,8.8,—
65.0,The Three Doctors,Episode Four,Lennie Mayne,Bob Baker and Dave Martin,1973-01-20,RRR,11.9,—
66.0,Carnival of Monsters,Episode One,Barry Letts,Robert Holmes,1973-01-27,PPP,9.5,—
66.0,Carnival of Monsters,Episode Two,Barry Letts,Robert Holmes,1973-02-03,PPP,9.0,—
66.0,Carnival of Monsters,Episode Three,Barry Letts,Robert Holmes,1973-02-10,PPP,9.0,—
66.0,Carnival of Monsters,Episode Four,Barry Letts,Robert Holmes,1973-02-17,PPP,9.2,—
67.0,Frontier in Space,Episode One,Paul Bernard,Malcolm Hulke,1973-02-24,QQQ,9.1,—
67.0,Frontier in Space,Episode Two,Paul Bernard,Malcolm Hulke,1973-03-03,QQQ,7.8,—
67.0,Frontier in Space,Episode Three,Paul Bernard,Malcolm Hulke,1973-03-10,QQQ,7.5,—
67.0,Frontier in Space,Episode Four,Paul Bernard,Malcolm Hulke,1973-03-17,QQQ,7.1,—
67.0,Frontier in Space,Episode Five,Paul Bernard,Malcolm Hulke,1973-03-24,QQQ,7.7,—
67.0,Frontier in Space,Episode Six,Paul Bernard,Malcolm Hulke,1973-03-31,QQQ,8.9,—
68.0,Planet of the Daleks,Episode One,David Maloney,Terry Nation,1973-04-07,SSS,11.0,—
68.0,Planet of the Daleks,Episode Two,David Maloney,Terry Nation,1973-04-14,SSS,10.7,—
68.0,Planet of the Daleks,Episode Three,David Maloney,Terry Nation,1973-04-21,SSS,10.1,—
68.0,Planet of the Daleks,Episode Four,David Maloney,Terry Nation,1973-04-28,SSS,8.3,—
68.0,Planet of the Daleks,Episode Five,David Maloney,Terry Nation,1973-05-05,SSS,9.7,—
68.0,Planet of the Daleks,Episode Six,David Maloney,Terry Nation,1973-05-12,SSS,8.5,—
69.0,The Green Death,Episode One,Michael E. Briant,Robert Sloman and Barry Letts (uncredited),1973-05-19,TTT,9.2,—
69.0,The Green Death,Episode Two,Michael E. Briant,Robert Sloman and Barry Letts (uncredited),1973-05-26,TTT,7.2,—
69.0,The Green Death,Episode Three,Michael E. Briant,Robert Sloman and Barry Letts (uncredited),1973-06-02,TTT,7.8,—
69.0,The Green Death,Episode Four,Michael E. Briant,Robert Sloman and Barry Letts (uncredited),1973-06-09,TTT,6.8,—
69.0,The Green Death,Episode Five,Michael E. Briant,Robert Sloman and Barry Letts (uncredited),1973-06-16,TTT,8.3,—
69.0,The Green Death,Episode Six,Michael E. Briant,Robert Sloman and Barry Letts (uncredited),1973-06-23,TTT,7.0,—
70.0,The Time Warrior,Part One,Alan Bromly,Robert Holmes,1973-12-15,UUU,8.7,59
70.0,The Time Warrior,Part Two,Alan Bromly,Robert Holmes,1973-12-22,UUU,7.0,—
70.0,The Time Warrior,Part Three,Alan Bromly,Robert Holmes,1973-12-29,UUU,6.6,—
70.0,The Time Warrior,Part Four,Alan Bromly,Robert Holmes,1974-01-05,UUU,10.6,60
71.0,Invasion of the Dinosaurs,Part One,Paddy Russell,Malcolm Hulke,1974-01-12,WWW,11.0,62
71.0,Invasion of the Dinosaurs,Part Two,Paddy Russell,Malcolm Hulke,1974-01-19,WWW,10.1,—
71.0,Invasion of the Dinosaurs,Part Three,Paddy Russell,Malcolm Hulke,1974-01-26,WWW,11.0,63
71.0,Invasion of the Dinosaurs,Part Four,Paddy Russell,Malcolm Hulke,1974-02-02,WWW,9.0,—
71.0,Invasion of the Dinosaurs,Part Five,Paddy Russell,Malcolm Hulke,1974-02-09,WWW,9.0,—
71.0,Invasion of the Dinosaurs,Part Six,Paddy Russell,Malcolm Hulke,1974-02-16,WWW,7.5,62
72.0,Death to the Daleks,Part One,Michael E. Briant,Terry Nation,1974-02-23,XXX,8.1,61
72.0,Death to the Daleks,Part Two,Michael E. Briant,Terry Nation,1974-03-02,XXX,9.5,—
72.0,Death to the Daleks,Part Three,Michael E. Briant,Terry Nation,1974-03-09,XXX,10.5,61
72.0,Death to the Daleks,Part Four,Michael E. Briant,Terry Nation,1974-03-16,XXX,9.5,62
73.0,The Monster of Peladon,Part One,Lennie Mayne,Brian Hayles,1974-03-23,YYY,9.2,—
73.0,The Monster of Peladon,Part Two,Lennie Mayne,Brian Hayles,1974-03-30,YYY,6.8,—
73.0,The Monster of Peladon,Part Three,Lennie Mayne,Brian Hayles,1974-04-06,YYY,7.4,—
73.0,The Monster of Peladon,Part Four,Lennie Mayne,Brian Hayles,1974-04-13,YYY,7.2,—
73.0,The Monster of Peladon,Part Five,Lennie Mayne,Brian Hayles,1974-04-20,YYY,7.5,—
73.0,The Monster of Peladon,Part Six,Lennie Mayne,Brian Hayles,1974-04-27,YYY,8.1,—
74.0,Planet of the Spiders,Part One,Barry Letts,Robert Sloman and Barry Letts (uncredited),1974-05-04,ZZZ,10.1,58
74.0,Planet of the Spiders,Part Two,Barry Letts,Robert Sloman and Barry Letts (uncredited),1974-05-11,ZZZ,8.9,60
74.0,Planet of the Spiders,Part Three,Barry Letts,Robert Sloman and Barry Letts (uncredited),1974-05-18,ZZZ,8.8,57
74.0,Planet of the Spiders,Part Four,Barry Letts,Robert Sloman and Barry Letts (uncredited),1974-05-25,ZZZ,8.2,—
74.0,Planet of the Spiders,Part Five,Barry Letts,Robert Sloman and Barry Letts (uncredited),1974-06-01,ZZZ,9.2,—
74.0,Planet of the Spiders,Part Six,Barry Letts,Robert Sloman and Barry Letts (uncredited),1974-06-08,ZZZ,8.9,56
75.0,Robot,Part One,Christopher Barry,Terrance Dicks,1974-12-28,4A,10.8,53
75.0,Robot,Part Two,Christopher Barry,Terrance Dicks,1975-01-04,4A,10.7,53
75.0,Robot,Part Three,Christopher Barry,Terrance Dicks,1975-01-11,4A,10.1,—
75.0,Robot,Part Four,Christopher Barry,Terrance Dicks,1975-01-18,4A,9.0,51
76.0,The Ark in Space,Part One,Rodney Bennett,Robert Holmes,1975-01-25,4C,9.4,—
76.0,The Ark in Space,Part Two,Rodney Bennett,Robert Holmes,1975-02-01,4C,13.6,—
76.0,The Ark in Space,Part Three,Rodney Bennett,Robert Holmes,1975-02-08,4C,11.2,—
76.0,The Ark in Space,Part Four,Rodney Bennett,Robert Holmes,1975-02-15,4C,10.2,—
77.0,The Sontaran Experiment,Part One,Rodney Bennett,Bob Baker and Dave Martin,1975-02-22,4B,11.0,—
77.0,The Sontaran Experiment,Part Two,Rodney Bennett,Bob Baker and Dave Martin,1975-03-01,4B,10.5,55
78.0,Genesis of the Daleks,Part One,David Maloney,Terry Nation,1975-03-08,4E,10.7,—
78.0,Genesis of the Daleks,Part Two,David Maloney,Terry Nation,1975-03-15,4E,10.5,57
78.0,Genesis of the Daleks,Part Three,David Maloney,Terry Nation,1975-03-22,4E,8.5,—
78.0,Genesis of the Daleks,Part Four,David Maloney,Terry Nation,1975-03-29,4E,8.8,58
78.0,Genesis of the Daleks,Part Five,David Maloney,Terry Nation,1975-04-05,4E,9.8,57
78.0,Genesis of the Daleks,Part Six,David Maloney,Terry Nation,1975-04-12,4E,9.1,56
79.0,Revenge of the Cybermen,Part One,Michael E. Briant,Gerry Davis,1975-04-19,4D,9.5,57
79.0,Revenge of the Cybermen,Part Two,Michael E. Briant,Gerry Davis,1975-04-26,4D,8.3,—
79.0,Revenge of the Cybermen,Part Three,Michael E. Briant,Gerry Davis,1975-05-03,4D,8.9,—
79.0,Revenge of the Cybermen,Part Four,Michael E. Briant,Gerry Davis,1975-05-10,4D,9.4,58
80.0,Terror of the Zygons,Part One,Douglas Camfield,Robert Banks Stewart,1975-08-30,4F,8.4,59
80.0,Terror of the Zygons,Part Two,Douglas Camfield,Robert Banks Stewart,1975-09-06,4F,6.1,—
80.0,Terror of the Zygons,Part Three,Douglas Camfield,Robert Banks Stewart,1975-09-13,4F,8.2,54
80.0,Terror of the Zygons,Part Four,Douglas Camfield,Robert Banks Stewart,1975-09-20,4F,7.2,—
81.0,Planet of Evil,Part One,David Maloney,Louis Marks,1975-09-27,4H,10.4,—
81.0,Planet of Evil,Part Two,David Maloney,Louis Marks,1975-10-04,4H,9.9,56
81.0,Planet of Evil,Part Three,David Maloney,Louis Marks,1975-10-11,4H,9.1,57
81.0,Planet of Evil,Part Four,David Maloney,Louis Marks,1975-10-18,4H,10.1,54
82.0,Pyramids of Mars,Part One,Paddy Russell,Stephen Harris (Lewis Greifer and Robert Holmes),1975-10-25,4G,10.5,—
82.0,Pyramids of Mars,Part Two,Paddy Russell,Stephen Harris (Lewis Greifer and Robert Holmes),1975-11-01,4G,11.3,—
82.0,Pyramids of Mars,Part Three,Paddy Russell,Stephen Harris (Lewis Greifer and Robert Holmes),1975-11-08,4G,9.4,—
82.0,Pyramids of Mars,Part Four,Paddy Russell,Stephen Harris (Lewis Greifer and Robert Holmes),1975-11-15,4G,11.7,60
83.0,The Android Invasion,Part One,Barry Letts,Terry Nation,1975-11-22,4J,11.9,58
83.0,The Android Invasion,Part Two,Barry Letts,Terry Nation,1975-11-29,4J,11.3,—
83.0,The Android Invasion,Part Three,Barry Letts,Terry Nation,1975-12-06,4J,12.1,—
83.0,The Android Invasion,Part Four,Barry Letts,Terry Nation,1975-12-13,4J,11.4,—
84.0,The Brain of Morbius,Part One,Christopher Barry,Robin Bland (Terrance Dicks and Robert Holmes),1976-01-03,4K,9.5,—
84.0,The Brain of Morbius,Part Two,Christopher Barry,Robin Bland (Terrance Dicks and Robert Holmes),1976-01-10,4K,9.3,—
84.0,The Brain of Morbius,Part Three,Christopher Barry,Robin Bland (Terrance Dicks and Robert Holmes),1976-01-17,4K,10.1,57
84.0,The Brain of Morbius,Part Four,Christopher Barry,Robin Bland (Terrance Dicks and Robert Holmes),1976-01-24,4K,10.2,—
85.0,The Seeds of Doom,Part One,Douglas Camfield,Robert Banks Stewart,1976-01-31,4L,11.4,59
85.0,The Seeds of Doom,Part Two,Douglas Camfield,Robert Banks Stewart,1976-02-07,4L,11.4,—
85.0,The Seeds of Doom,Part Three,Douglas Camfield,Robert Banks Stewart,1976-02-14,4L,10.3,—
85.0,The Seeds of Doom,Part Four,Douglas Camfield,Robert Banks Stewart,1976-02-21,4L,11.1,—
85.0,The Seeds of Doom,Part Five,Douglas Camfield,Robert Banks Stewart,1976-02-28,4L,9.9,—
85.0,The Seeds of Doom,Part Six,Douglas Camfield,Robert Banks Stewart,1976-03-06,4L,11.5,—
86.0,The Masque of Mandragora,Part One,Rodney Bennett,Louis Marks,1976-09-04,4M,8.3,58
86.0,The Masque of Mandragora,Part Two,Rodney Bennett,Louis Marks,1976-09-11,4M,9.8,56
86.0,The Masque of Mandragora,Part Three,Rodney Bennett,Louis Marks,1976-09-18,4M,9.2,—
86.0,The Masque of Mandragora,Part Four,Rodney Bennett,Louis Marks,1976-09-25,4M,10.6,56
87.0,The Hand of Fear,Part One,Lennie Mayne,Bob Baker and Dave Martin,1976-10-02,4N,10.5,—
87.0,The Hand of Fear,Part Two,Lennie Mayne,Bob Baker and Dave Martin,1976-10-09,4N,10.2,—
87.0,The Hand of Fear,Part Three,Lennie Mayne,Bob Baker and Dave Martin,1976-10-16,4N,11.1,62
87.0,The Hand of Fear,Part Four,Lennie Mayne,Bob Baker and Dave Martin,1976-10-23,4N,12.0,—
88.0,The Deadly Assassin,Part One,David Maloney,Robert Holmes,1976-10-30,4P,11.8,—
88.0,The Deadly Assassin,Part Two,David Maloney,Robert Holmes,1976-11-06,4P,12.1,59
88.0,The Deadly Assassin,Part Three,David Maloney,Robert Holmes,1976-11-13,4P,13.0,—
88.0,The Deadly Assassin,Part Four,David Maloney,Robert Holmes,1976-11-20,4P,11.8,61
89.0,The Face of Evil,Part One,Pennant Roberts,Chris Boucher,1977-01-01,4Q,10.7,61
89.0,The Face of Evil,Part Two,Pennant Roberts,Chris Boucher,1977-01-08,4Q,11.1,—
89.0,The Face of Evil,Part Three,Pennant Roberts,Chris Boucher,1977-01-15,4Q,11.3,59
89.0,The Face of Evil,Part Four,Pennant Roberts,Chris Boucher,1977-01-22,4Q,11.7,60
90.0,The Robots of Death,Part One,Michael E. Briant,Chris Boucher,1977-01-29,4R,12.8,62
90.0,The Robots of Death,Part Two,Michael E. Briant,Chris Boucher,1977-02-05,4R,12.4,—
90.0,The Robots of Death,Part Three,Michael E. Briant,Chris Boucher,1977-02-12,4R,13.1,—
90.0,The Robots of Death,Part Four,Michael E. Briant,Chris Boucher,1977-02-19,4R,12.6,57
91.0,The Talons of Weng-Chiang,Part One,David Maloney,Robert Holmes,1977-02-26,4S,11.3,—
91.0,The Talons of Weng-Chiang,Part Two,David Maloney,Robert Holmes,1977-03-05,4S,9.8,—
91.0,The Talons of Weng-Chiang,Part Three,David Maloney,Robert Holmes,1977-03-12,4S,10.2,—
91.0,The Talons of Weng-Chiang,Part Four,David Maloney,Robert Holmes,1977-03-19,4S,11.4,60
91.0,The Talons of Weng-Chiang,Part Five,David Maloney,Robert Holmes,1977-03-26,4S,10.1,—
91.0,The Talons of Weng-Chiang,Part Six,David Maloney,Robert Holmes,1977-04-02,4S,9.3,58
92.0,Horror of Fang Rock,Part One,Paddy Russell,Terrance Dicks,1977-09-03,4V,6.8,58
92.0,Horror of Fang Rock,Part Two,Paddy Russell,Terrance Dicks,1977-09-10,4V,7.1,—
92.0,Horror of Fang Rock,Part Three,Paddy Russell,Terrance Dicks,1977-09-17,4V,9.8,60
92.0,Horror of Fang Rock,Part Four,Paddy Russell,Terrance Dicks,1977-09-24,4V,9.9,57
93.0,The Invisible Enemy,Part One,Derrick Goodwin,Bob Baker and Dave Martin,1977-10-01,4T,8.6,—
93.0,The Invisible Enemy,Part Two,Derrick Goodwin,Bob Baker and Dave Martin,1977-10-08,4T,7.3,—
93.0,The Invisible Enemy,Part Three,Derrick Goodwin,Bob Baker and Dave Martin,1977-10-15,4T,7.5,—
93.0,The Invisible Enemy,Part Four,Derrick Goodwin,Bob Baker and Dave Martin,1977-10-22,4T,8.3,60
94.0,Image of the Fendahl,Part One,George Spenton-Foster,Chris Boucher,1977-10-29,4X,6.7,—
94.0,Image of the Fendahl,Part Two,George Spenton-Foster,Chris Boucher,1977-11-05,4X,7.5,75
94.0,Image of the Fendahl,Part Three,George Spenton-Foster,Chris Boucher,1977-11-12,4X,7.9,—
94.0,Image of the Fendahl,Part Four,George Spenton-Foster,Chris Boucher,1977-11-19,4X,9.1,61
95.0,The Sun Makers,Part One,Pennant Roberts,Robert Holmes,1977-11-26,4W,8.5,—
95.0,The Sun Makers,Part Two,Pennant Roberts,Robert Holmes,1977-12-03,4W,9.5,—
95.0,The Sun Makers,Part Three,Pennant Roberts,Robert Holmes,1977-12-10,4W,8.9,68
95.0,The Sun Makers,Part Four,Pennant Roberts,Robert Holmes,1977-12-17,4W,8.4,59
96.0,Underworld,Part One,Norman Stewart,Bob Baker and Dave Martin,1978-01-07,4Y,8.9,65
96.0,Underworld,Part Two,Norman Stewart,Bob Baker and Dave Martin,1978-01-14,4Y,9.1,—
96.0,Underworld,Part Three,Norman Stewart,Bob Baker and Dave Martin,1978-01-21,4Y,8.9,—
96.0,Underworld,Part Four,Norman Stewart,Bob Baker and Dave Martin,1978-01-28,4Y,11.7,—
97.0,The Invasion of Time,Part One,Gerald Blake,David Agnew (Graham Williams and Anthony Read),1978-02-04,4Z,11.2,56
97.0,The Invasion of Time,Part Two,Gerald Blake,David Agnew (Graham Williams and Anthony Read),1978-02-11,4Z,11.4,—
97.0,The Invasion of Time,Part Three,Gerald Blake,David Agnew (Graham Williams and Anthony Read),1978-02-18,4Z,9.5,—
97.0,The Invasion of Time,Part Four,Gerald Blake,David Agnew (Graham Williams and Anthony Read),1978-02-25,4Z,10.9,—
97.0,The Invasion of Time,Part Five,Gerald Blake,David Agnew (Graham Williams and Anthony Read),1978-03-04,4Z,10.3,—
97.0,The Invasion of Time,Part Six,Gerald Blake,David Agnew (Graham Williams and Anthony Read),1978-03-11,4Z,9.8,—
98.0,The Ribos Operation,Part One,George Spenton-Foster,Robert Holmes,1978-09-02,5A,8.3,59
98.0,The Ribos Operation,Part Two,George Spenton-Foster,Robert Holmes,1978-09-09,5A,8.1,—
98.0,The Ribos Operation,Part Three,George Spenton-Foster,Robert Holmes,1978-09-16,5A,7.9,—
98.0,The Ribos Operation,Part Four,George Spenton-Foster,Robert Holmes,1978-09-23,5A,8.2,67
99.0,The Pirate Planet,Part One,Pennant Roberts,Douglas Adams,1978-09-30,5B,9.1,61
99.0,The Pirate Planet,Part Two,Pennant Roberts,Douglas Adams,1978-10-07,5B,7.4,—
99.0,The Pirate Planet,Part Three,Pennant Roberts,Douglas Adams,1978-10-14,5B,8.2,64
99.0,The Pirate Planet,Part Four,Pennant Roberts,Douglas Adams,1978-10-21,5B,8.4,64
100.0,The Stones of Blood,Part One,Darrol Blake,David Fisher,1978-10-28,5C,8.6,—
100.0,The Stones of Blood,Part Two,Darrol Blake,David Fisher,1978-11-04,5C,6.6,—
100.0,The Stones of Blood,Part Three,Darrol Blake,David Fisher,1978-11-11,5C,9.3,—
100.0,The Stones of Blood,Part Four,Darrol Blake,David Fisher,1978-11-18,5C,7.6,67
101.0,The Androids of Tara,Part One,Michael Hayes,David Fisher,1978-11-25,5D,9.5,—
101.0,The Androids of Tara,Part Two,Michael Hayes,David Fisher,1978-12-02,5D,10.1,65
101.0,The Androids of Tara,Part Three,Michael Hayes,David Fisher,1978-12-09,5D,8.9,—
101.0,The Androids of Tara,Part Four,Michael Hayes,David Fisher,1978-12-16,5D,9.0,66
102.0,The Power of Kroll,Part One,Norman Stewart,Robert Holmes,1978-12-23,5E,6.5,—
102.0,The Power of Kroll,Part Two,Norman Stewart,Robert Holmes,1978-12-30,5E,12.4,—
102.0,The Power of Kroll,Part Three,Norman Stewart,Robert Holmes,1979-01-06,5E,8.9,—
102.0,The Power of Kroll,Part Four,Norman Stewart,Robert Holmes,1979-01-13,5E,9.9,63
103.0,The Armageddon Factor,Part One,Michael Hayes,Bob Baker and Dave Martin,1979-01-20,5F,7.5,65
103.0,The Armageddon Factor,Part Two,Michael Hayes,Bob Baker and Dave Martin,1979-01-27,5F,8.8,—
103.0,The Armageddon Factor,Part Three,Michael Hayes,Bob Baker and Dave Martin,1979-02-03,5F,7.8,—
103.0,The Armageddon Factor,Part Four,Michael Hayes,Bob Baker and Dave Martin,1979-02-10,5F,8.6,—
103.0,The Armageddon Factor,Part Five,Michael Hayes,Bob Baker and Dave Martin,1979-02-17,5F,8.6,—
103.0,The Armageddon Factor,Part Six,Michael Hayes,Bob Baker and Dave Martin,1979-02-24,5F,9.6,66
104,Destiny of the Daleks,Episode One,Ken Grieve,Terry Nation,1979-09-01,5J,13.0,67
104,Destiny of the Daleks,Episode Two,Ken Grieve,Terry Nation,1979-09-08,5J,12.7,—
104,Destiny of the Daleks,Episode Three,Ken Grieve,Terry Nation,1979-09-15,5J,13.8,63
104,Destiny of the Daleks,Episode Four,Ken Grieve,Terry Nation,1979-09-22,5J,14.4,64
105,City of Death,Part One,Michael Hayes,"David Agnew (Douglas Adams, Graham Williams and David Fisher)",1979-09-29,5H,12.4,—
105,City of Death,Part Two,Michael Hayes,"David Agnew (Douglas Adams, Graham Williams and David Fisher)",1979-10-06,5H,14.1,64
105,City of Death,Part Three,Michael Hayes,"David Agnew (Douglas Adams, Graham Williams and David Fisher)",1979-10-13,5H,15.4,—
105,City of Death,Part Four,Michael Hayes,"David Agnew (Douglas Adams, Graham Williams and David Fisher)",1979-10-20,5H,16.1,64
106,The Creature from the Pit,Part One,Christopher Barry,David Fisher,1979-10-27,5G,9.3,—
106,The Creature from the Pit,Part Two,Christopher Barry,David Fisher,1979-11-03,5G,10.8,67
106,The Creature from the Pit,Part Three,Christopher Barry,David Fisher,1979-11-10,5G,10.2,—
106,The Creature from the Pit,Part Four,Christopher Barry,David Fisher,1979-11-17,5G,9.6,—
107,Nightmare of Eden,Part One,Alan Bromly,Bob Baker,1979-11-24,5K,8.7,—
107,Nightmare of Eden,Part Two,Alan Bromly,Bob Baker,1979-12-01,5K,9.6,—
107,Nightmare of Eden,Part Three,Alan Bromly,Bob Baker,1979-12-08,5K,9.6,—
107,Nightmare of Eden,Part Four,Alan Bromly,Bob Baker,1979-12-15,5K,9.4,65
108,The Horns of Nimon,Part One,Kenny McBain,Anthony Read,1979-12-22,5L,6.0,—
108,The Horns of Nimon,Part Two,Kenny McBain,Anthony Read,1979-12-29,5L,8.8,—
108,The Horns of Nimon,Part Three,Kenny McBain,Anthony Read,1980-01-05,5L,9.8,—
108,The Horns of Nimon,Part Four,Kenny McBain,Anthony Read,1980-01-12,5L,10.4,67
—,Shada,,Pennant Roberts,Douglas Adams,,5M,—,—
109.0,The Leisure Hive,Part One,Lovett Bickford,David Fisher,1980-08-30,5N,5.9,—
109.0,The Leisure Hive,Part Two,Lovett Bickford,David Fisher,1980-09-06,5N,5.0,—
109.0,The Leisure Hive,Part Three,Lovett Bickford,David Fisher,1980-09-13,5N,5.0,—
109.0,The Leisure Hive,Part Four,Lovett Bickford,David Fisher,1980-09-20,5N,4.5,65
110.0,Meglos,Part One,Terence Dudley,John Flanagan & Andrew McCulloch,1980-09-27,5Q,5.0,61
110.0,Meglos,Part Two,Terence Dudley,John Flanagan & Andrew McCulloch,1980-10-04,5Q,4.2,64
110.0,Meglos,Part Three,Terence Dudley,John Flanagan & Andrew McCulloch,1980-10-11,5Q,4.7,—
110.0,Meglos,Part Four,Terence Dudley,John Flanagan & Andrew McCulloch,1980-10-18,5Q,4.7,63
111.0,Full Circle,Part One,Peter Grimwade,Andrew Smith,1980-10-25,5R,5.9,—
111.0,Full Circle,Part Two,Peter Grimwade,Andrew Smith,1980-11-01,5R,3.7,—
111.0,Full Circle,Part Three,Peter Grimwade,Andrew Smith,1980-11-08,5R,5.9,—
111.0,Full Circle,Part Four,Peter Grimwade,Andrew Smith,1980-11-15,5R,5.4,65
112.0,State of Decay,Part One,Peter Moffatt,Terrance Dicks,1980-11-22,5P,5.8,—
112.0,State of Decay,Part Two,Peter Moffatt,Terrance Dicks,1980-11-29,5P,5.3,—
112.0,State of Decay,Part Three,Peter Moffatt,Terrance Dicks,1980-12-06,5P,4.4,—
112.0,State of Decay,Part Four,Peter Moffatt,Terrance Dicks,1980-12-13,5P,5.4,69
113.0,Warriors' Gate,Part One,Paul Joyce & Graeme Harper (uncredited),Stephen Gallagher,1981-01-03,5S,7.1,59
113.0,Warriors' Gate,Part Two,Paul Joyce & Graeme Harper (uncredited),Stephen Gallagher,1981-01-10,5S,6.7,—
