Story,Serial title,Episode titles,Directed by,Written by,Original air date,Prod.code,UK viewers(millions) [7],AI [7]
48.0,The Seeds of Death,"""Episode Three""",Michael Ferguson,Brian Hayles and Terrance Dicks (uncredited),8 February 1969,XX,7.5,55.0
48.0,The Seeds of Death,"""Episode Four""",Michael Ferguson,Brian Hayles and Terrance Dicks (uncredited),15 February 1969,XX,7.1,55.0
48.0,The Seeds of Death,"""Episode Five""",Michael Ferguson,Brian Hayles and Terrance Dicks (uncredited),22 February 1969,XX,7.6,57.0
48.0,The Seeds of Death,"""Episode Six""",Michael Ferguson,Brian Hayles and Terrance Dicks (uncredited),1 March 1969,XX,7.7,59.0
49.0,The Space Pirates,"""Episode One""†",Michael Hart,Robert Holmes,8 March 1969,YY,5.8,57.0
49.0,The Space Pirates,"""Episode Two""",Michael Hart,Robert Holmes,15 March 1969,YY,6.8,52.0
49.0,The Space Pirates,"""Episode Three""†",Michael Hart,Robert Holmes,22 March 1969,YY,6.4,55.0
49.0,The Space Pirates,"""Episode Four""†",Michael Hart,Robert Holmes,29 March 1969,YY,5.8,53.0
49.0,The Space Pirates,"""Episode Five""†",Michael Hart,Robert Holmes,5 April 1969,YY,5.5,56.0
49.0,The Space Pirates,"""Episode Six""†",Michael Hart,Robert Holmes,12 April 1969,YY,5.3,52.0
50.0,The War Games,"""Episode One""",David Maloney,Terrance Dicks and Malcolm Hulke,19 April 1969,ZZ,5.5,55.0
50.0,The War Games,"""Episode Two""",David Maloney,Terrance Dicks and Malcolm Hulke,26 April 1969,ZZ,6.3,54.0
50.0,The War Games,"""Episode Three""",David Maloney,Terrance Dicks and Malcolm Hulke,3 May 1969,ZZ,5.1,53.0
50.0,The War Games,"""Episode Four""",David Maloney,Terrance Dicks and Malcolm Hulke,10 May 1969,ZZ,5.7,50.0
50.0,The War Games,"""Episode Five""",David Maloney,Terrance Dicks and Malcolm Hulke,17 May 1969,ZZ,5.1,53.0
50.0,The War Games,"""Episode Six""",David Maloney,Terrance Dicks and Malcolm Hulke,24 May 1969,ZZ,4.2,53.0
50.0,The War Games,"""Episode Seven""",David Maloney,Terrance Dicks and Malcolm Hulke,31 May 1969,ZZ,4.9,53.0
50.0,The War Games,"""Episode Eight""",David Maloney,Terrance Dicks and Malcolm Hulke,7 June 1969,ZZ,3.5,53.0
50.0,The War Games,"""Episode Nine""",David Maloney,Terrance Dicks and Malcolm Hulke,14 June 1969,ZZ,4.1,57.0
50.0,The War Games,"""Episode Ten""",David Maloney,Terrance Dicks and Malcolm Hulke,21 June 1969,ZZ,5.0,58.0
51.0,Spearhead from Space,"""Episode 1""",Derek Martinus,Robert Holmes,3 January 1970,AAA,8.4,54
51.0,Spearhead from Space,"""Episode 2""",Derek Martinus,Robert Holmes,10 January 1970,AAA,8.1,—
51.0,Spearhead from Space,"""Episode 3""",Derek Martinus,Robert Holmes,17 January 1970,AAA,8.3,—
51.0,Spearhead from Space,"""Episode 4""",Derek Martinus,Robert Holmes,24 January 1970,AAA,8.1,57
52.0,Doctor Who and the Silurians,"""Episode 1""",Timothy Combe,Malcolm Hulke,31 January 1970,BBB,8.8,58
52.0,Doctor Who and the Silurians,"""Episode 2""",Timothy Combe,Malcolm Hulke,7 February 1970,BBB,7.3,58
52.0,Doctor Who and the Silurians,"""Episode 3""",Timothy Combe,Malcolm Hulke,14 February 1970,BBB,7.5,57
52.0,Doctor Who and the Silurians,"""Episode 4""",Timothy Combe,Malcolm Hulke,21 February 1970,BBB,8.2,60
52.0,Doctor Who and the Silurians,"""Episode 5""",Timothy Combe,Malcolm Hulke,28 February 1970,BBB,7.5,58
52.0,Doctor Who and the Silurians,"""Episode 6""",Timothy Combe,Malcolm Hulke,7 March 1970,BBB,7.2,57
52.0,Doctor Who and the Silurians,"""Episode 7""",Timothy Combe,Malcolm Hulke,14 March 1970,BBB,7.5,58
53.0,The Ambassadors of Death,"""Episode 1""",Michael Ferguson,David Whitaker and Trevor Ray (uncredited),21 March 1970,CCC,7.1,60
53.0,The Ambassadors of Death,"""Episode 2""",Michael Ferguson,"David Whitaker, Malcolm Hulke (uncredited), and Terrance Dicks (uncredited)",28 March 1970,CCC,7.6,61
53.0,The Ambassadors of Death,"""Episode 3""",Michael Ferguson,"David Whitaker, Malcolm Hulke (uncredited), and Terrance Dicks (uncredited)",4 April 1970,CCC,8.0,59
53.0,The Ambassadors of Death,"""Episode 4""",Michael Ferguson,"David Whitaker, Malcolm Hulke (uncredited), and Terrance Dicks (uncredited)",11 April 1970,CCC,9.3,58
53.0,The Ambassadors of Death,"""Episode 5""",Michael Ferguson,"David Whitaker, Malcolm Hulke (uncredited), and Terrance Dicks (uncredited)",18 April 1970,CCC,7.1,—
53.0,The Ambassadors of Death,"""Episode 6""",Michael Ferguson,"David Whitaker, Malcolm Hulke (uncredited), and Terrance Dicks (uncredited)",25 April 1970,CCC,6.9,61
53.0,The Ambassadors of Death,"""Episode 7""",Michael Ferguson,"David Whitaker, Malcolm Hulke (uncredited), and Terrance Dicks (uncredited)",2 May 1970,CCC,6.4,62
54.0,Inferno,"""Episode 1""",Douglas Camfield,Don Houghton,9 May 1970,DDD,5.7,61
54.0,Inferno,"""Episode 2""",Douglas Camfield,Don Houghton,16 May 1970,DDD,5.9,61
54.0,Inferno,"""Episode 3""",Douglas Camfield and Barry Letts (uncredited),Don Houghton,23 May 1970,DDD,4.8,60
54.0,Inferno,"""Episode 4""",Douglas Camfield and Barry Letts (uncredited),Don Houghton,30 May 1970,DDD,6.0,60
54.0,Inferno,"""Episode 5""",Douglas Camfield and Barry Letts (uncredited),Don Houghton,6 June 1970,DDD,5.4,—
54.0,Inferno,"""Episode 6""",Douglas Camfield and Barry Letts (uncredited),Don Houghton,13 June 1970,DDD,6.7,58
54.0,Inferno,"""Episode 7""",Douglas Camfield and Barry Letts (uncredited),Don Houghton,20 June 1970,DDD,5.5,60
55.0,Terror of the Autons,"""Episode One""",Barry Letts,Robert Holmes,2 January 1971,EEE,7.3,—
55.0,Terror of the Autons,"""Episode Two""",Barry Letts,Robert Holmes,9 January 1971,EEE,8.0,—
55.0,Terror of the Autons,"""Episode Three""",Barry Letts,Robert Holmes,16 January 1971,EEE,8.1,—
55.0,Terror of the Autons,"""Episode Four""",Barry Letts,Robert Holmes,23 January 1971,EEE,8.4,—
56.0,The Mind of Evil,"""Episode One""",Timothy Combe,Don Houghton,30 January 1971,FFF,6.1,—
56.0,The Mind of Evil,"""Episode Two""",Timothy Combe,Don Houghton,6 February 1971,FFF,8.8,—
56.0,The Mind of Evil,"""Episode Three""",Timothy Combe,Don Houghton,13 February 1971,FFF,7.5,—
56.0,The Mind of Evil,"""Episode Four""",Timothy Combe,Don Houghton,20 February 1971,FFF,7.4,—
56.0,The Mind of Evil,"""Episode Five""",Timothy Combe,Don Houghton,27 February 1971,FFF,7.6,—
56.0,The Mind of Evil,"""Episode Six""",Timothy Combe,Don Houghton,6 March 1971,FFF,7.3,—
57.0,The Claws of Axos,"""Episode One""",Michael Ferguson,Bob Baker and Dave Martin,13 March 1971,GGG,7.3,—
57.0,The Claws of Axos,"""Episode Two""",Michael Ferguson,Bob Baker and Dave Martin,20 March 1971,GGG,8.0,—
57.0,The Claws of Axos,"""Episode Three""",Michael Ferguson,Bob Baker and Dave Martin,27 March 1971,GGG,6.4,—
57.0,The Claws of Axos,"""Episode Four""",Michael Ferguson,Bob Baker and Dave Martin,3 April 1971,GGG,7.8,—
58.0,Colony in Space,"""Episode One""",Michael E. Briant,Malcolm Hulke,10 April 1971,HHH,7.6,—
58.0,Colony in Space,"""Episode Two""",Michael E. Briant,Malcolm Hulke,17 April 1971,HHH,8.5,—
58.0,Colony in Space,"""Episode Three""",Michael E. Briant,Malcolm Hulke,24 April 1971,HHH,9.5,—
58.0,Colony in Space,"""Episode Four""",Michael E. Briant,Malcolm Hulke,1 May 1971,HHH,8.1,—
58.0,Colony in Space,"""Episode Five""",Michael E. Briant,Malcolm Hulke,8 May 1971,HHH,8.8,—
58.0,Colony in Space,"""Episode Six""",Michael E. Briant,Malcolm Hulke,15 May 1971,HHH,8.7,—
59.0,The Dæmons,"""Episode One""",Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),22 May 1971,JJJ,9.2,—
59.0,The Dæmons,"""Episode Two""",Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),29 May 1971,JJJ,8.0,—
59.0,The Dæmons,"""Episode Three""",Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),5 June 1971,JJJ,8.1,—
59.0,The Dæmons,"""Episode Four""",Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),12 June 1971,JJJ,8.1,—
59.0,The Dæmons,"""Episode Five""",Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),19 June 1971,JJJ,8.3,—
60.0,Day of the Daleks,"""Episode One""",Paul Bernard,Louis Marks,1 January 1972,KKK,9.8,—
60.0,Day of the Daleks,"""Episode Two""",Paul Bernard,Louis Marks,8 January 1972,KKK,10.4,—
60.0,Day of the Daleks,"""Episode Three""",Paul Bernard,Louis Marks,15 January 1972,KKK,9.1,—
60.0,Day of the Daleks,"""Episode Four""",Paul Bernard,Louis Marks,22 January 1972,KKK,9.1,—
61.0,The Curse of Peladon,"""Episode One""",Lennie Mayne,Brian Hayles,29 January 1972,MMM,10.3,—
61.0,The Curse of Peladon,"""Episode Two""",Lennie Mayne,Brian Hayles,5 February 1972,MMM,11.0,—
61.0,The Curse of Peladon,"""Episode Three""",Lennie Mayne,Brian Hayles,12 February 1972,MMM,7.8,—
61.0,The Curse of Peladon,"""Episode Four""",Lennie Mayne,Brian Hayles,19 February 1972,MMM,8.4,—
62.0,The Sea Devils,"""Episode One""",Michael E. Briant,Malcolm Hulke,26 February 1972,LLL,6.4,—
62.0,The Sea Devils,"""Episode Two""",Michael E. Briant,Malcolm Hulke,4 March 1972,LLL,9.7,—
62.0,The Sea Devils,"""Episode Three""",Michael E. Briant,Malcolm Hulke,11 March 1972,LLL,8.3,—
62.0,The Sea Devils,"""Episode Four""",Michael E. Briant,Malcolm Hulke,18 March 1972,LLL,7.8,—
62.0,The Sea Devils,"""Episode Five""",Michael E. Briant,Malcolm Hulke,25 March 1972,LLL,8.3,—
62.0,The Sea Devils,"""Episode Six""",Michael E. Briant,Malcolm Hulke,1 April 1972,LLL,8.5,—
63.0,The Mutants,"""Episode One""",Christopher Barry,Bob Baker and Dave Martin,8 April 1972,NNN,9.1,—
63.0,The Mutants,"""Episode Two""",Christopher Barry,Bob Baker and Dave Martin,15 April 1972,NNN,7.8,—
63.0,The Mutants,"""Episode Three""",Christopher Barry,Bob Baker and Dave Martin,22 April 1972,NNN,7.9,—
63.0,The Mutants,"""Episode Four""",Christopher Barry,Bob Baker and Dave Martin,29 April 1972,NNN,7.5,—
63.0,The Mutants,"""Episode Five""",Christopher Barry,Bob Baker and Dave Martin,6 May 1972,NNN,7.9,—
63.0,The Mutants,"""Episode Six""",Christopher Barry,Bob Baker and Dave Martin,13 May 1972,NNN,6.5,—
64.0,The Time Monster,"""Episode One""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),20 May 1972,OOO,7.6,—
64.0,The Time Monster,"""Episode Two""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),27 May 1972,OOO,7.4,—
64.0,The Time Monster,"""Episode Three""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),3 June 1972,OOO,8.1,—
64.0,The Time Monster,"""Episode Four""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),10 June 1972,OOO,7.6,—
64.0,The Time Monster,"""Episode Five""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),17 June 1972,OOO,6.0,—
64.0,The Time Monster,"""Episode Six""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),24 June 1972,OOO,7.6,—
65.0,The Three Doctors,"""Episode One""",Lennie Mayne,Bob Baker and Dave Martin,30 December 1972,RRR,9.6,—
65.0,The Three Doctors,"""Episode Two""",Lennie Mayne,Bob Baker and Dave Martin,6 January 1973,RRR,10.8,—
65.0,The Three Doctors,"""Episode Three""",Lennie Mayne,Bob Baker and Dave Martin,13 January 1973,RRR,8.8,—
65.0,The Three Doctors,"""Episode Four""",Lennie Mayne,Bob Baker and Dave Martin,20 January 1973,RRR,11.9,—
66.0,Carnival of Monsters,"""Episode One""",Barry Letts,Robert Holmes,27 January 1973,PPP,9.5,—
66.0,Carnival of Monsters,"""Episode Two""",Barry Letts,Robert Holmes,3 February 1973,PPP,9.0,—
66.0,Carnival of Monsters,"""Episode Three""",Barry Letts,Robert Holmes,10 February 1973,PPP,9.0,—
66.0,Carnival of Monsters,"""Episode Four""",Barry Letts,Robert Holmes,17 February 1973,PPP,9.2,—
67.0,Frontier in Space,"""Episode One""",Paul Bernard,Malcolm Hulke,24 February 1973,QQQ,9.1,—
67.0,Frontier in Space,"""Episode Two""",Paul Bernard,Malcolm Hulke,3 March 1973,QQQ,7.8,—
67.0,Frontier in Space,"""Episode Three""",Paul Bernard,Malcolm Hulke,10 March 1973,QQQ,7.5,—
67.0,Frontier in Space,"""Episode Four""",Paul Bernard,Malcolm Hulke,17 March 1973,QQQ,7.1,—
67.0,Frontier in Space,"""Episode Five""",Paul Bernard,Malcolm Hulke,24 March 1973,QQQ,7.7,—
67.0,Frontier in Space,"""Episode Six""",Paul Bernard,Malcolm Hulke,31 March 1973,QQQ,8.9,—
68.0,Planet of the Daleks,"""Episode One""",David Maloney,Terry Nation,7 April 1973,SSS,11.0,—
68.0,Planet of the Daleks,"""Episode Two""",David Maloney,Terry Nation,14 April 1973,SSS,10.7,—
68.0,Planet of the Daleks,"""Episode Three""",David Maloney,Terry Nation,21 April 1973,SSS,10.1,—
68.0,Planet of the Daleks,"""Episode Four""",David Maloney,Terry Nation,28 April 1973,SSS,8.3,—
68.0,Planet of the Daleks,"""Episode Five""",David Maloney,Terry Nation,5 May 1973,SSS,9.7,—
68.0,Planet of the Daleks,"""Episode Six""",David Maloney,Terry Nation,12 May 1973,SSS,8.5,—
69.0,The Green Death,"""Episode One""",Michael E. Briant,Robert Sloman and Barry Letts (uncredited),19 May 1973,TTT,9.2,—
69.0,The Green Death,"""Episode Two""",Michael E. Briant,Robert Sloman and Barry Letts (uncredited),26 May 1973,TTT,7.2,—
69.0,The Green Death,"""Episode Three""",Michael E. Briant,Robert Sloman and Barry Letts (uncredited),2 June 1973,TTT,7.8,—
69.0,The Green Death,"""Episode Four""",Michael E. Briant,Robert Sloman and Barry Letts (uncredited),9 June 1973,TTT,6.8,—
69.0,The Green Death,"""Episode Five""",Michael E. Briant,Robert Sloman and Barry Letts (uncredited),16 June 1973,TTT,8.3,—
69.0,The Green Death,"""Episode Six""",Michael E. Briant,Robert Sloman and Barry Letts (uncredited),23 June 1973,TTT,7.0,—
70.0,The Time Warrior,"""Part One""",Alan Bromly,Robert Holmes,15 December 1973,UUU,8.7,59
70.0,The Time Warrior,"""Part Two""",Alan Bromly,Robert Holmes,22 December 1973,UUU,7.0,—
70.0,The Time Warrior,"""Part Three""",Alan Bromly,Robert Holmes,29 December 1973,UUU,6.6,—
70.0,The Time Warrior,"""Part Four""",Alan Bromly,Robert Holmes,5 January 1974,UUU,10.6,60
71.0,Invasion of the Dinosaurs,"""Part One""",Paddy Russell,Malcolm Hulke,12 January 1974,WWW,11.0,62
71.0,Invasion of the Dinosaurs,"""Part Two""",Paddy Russell,Malcolm Hulke,19 January 1974,WWW,10.1,—
71.0,Invasion of the Dinosaurs,"""Part Three""",Paddy Russell,Malcolm Hulke,26 January 1974,WWW,11.0,63
71.0,Invasion of the Dinosaurs,"""Part Four""",Paddy Russell,Malcolm Hulke,2 February 1974,WWW,9.0,—
71.0,Invasion of the Dinosaurs,"""Part Five""",Paddy Russell,Malcolm Hulke,9 February 1974,WWW,9.0,—
71.0,Invasion of the Dinosaurs,"""Part Six""",Paddy Russell,Malcolm Hulke,16 February 1974,WWW,7.5,62
72.0,Death to the Daleks,"""Part One""",Michael E. Briant,Terry Nation,23 February 1974,XXX,8.1,61
72.0,Death to the Daleks,"""Part Two""",Michael E. Briant,Terry Nation,2 March 1974,XXX,9.5,—
72.0,Death to the Daleks,"""Part Three""",Michael E. Briant,Terry Nation,9 March 1974,XXX,10.5,61
72.0,Death to the Daleks,"""Part Four""",Michael E. Briant,Terry Nation,16 March 1974,XXX,9.5,62
73.0,The Monster of Peladon,"""Part One""",Lennie Mayne,Brian Hayles,23 March 1974,YYY,9.2,—
73.0,The Monster of Peladon,"""Part Two""",Lennie Mayne,Brian Hayles,30 March 1974,YYY,6.8,—
73.0,The Monster of Peladon,"""Part Three""",Lennie Mayne,Brian Hayles,6 April 1974,YYY,7.4,—
73.0,The Monster of Peladon,"""Part Four""",Lennie Mayne,Brian Hayles,13 April 1974,YYY,7.2,—
73.0,The Monster of Peladon,"""Part Five""",Lennie Mayne,Brian Hayles,20 April 1974,YYY,7.5,—
73.0,The Monster of Peladon,"""Part Six""",Lennie Mayne,Brian Hayles,27 April 1974,YYY,8.1,—
74.0,Planet of the Spiders,"""Part One""",Barry Letts,Robert Sloman and Barry Letts (uncredited),4 May 1974,ZZZ,10.1,58
74.0,Planet of the Spiders,"""Part Two""",Barry Letts,Robert Sloman and Barry Letts (uncredited),11 May 1974,ZZZ,8.9,60
74.0,Planet of the Spiders,"""Part Three""",Barry Letts,Robert Sloman and Barry Letts (uncredited),18 May 1974,ZZZ,8.8,57
74.0,Planet of the Spiders,"""Part Four""",Barry Letts,Robert Sloman and Barry Letts (uncredited),25 May 1974,ZZZ,8.2,—
74.0,Planet of the Spiders,"""Part Five""",Barry Letts,Robert Sloman and Barry Letts (uncredited),1 June 1974,ZZZ,9.2,—
74.0,Planet of the Spiders,"""Part Six""",Barry Letts,Robert Sloman and Barry Letts (uncredited),8 June 1974,ZZZ,8.9,56
75.0,Robot,"""Part One""",Christopher Barry,Terrance Dicks,28 December 1974,4A,10.8,53
75.0,Robot,"""Part Two""",Christopher Barry,Terrance Dicks,4 January 1975,4A,10.7,53
75.0,Robot,"""Part Three""",Christopher Barry,Terrance Dicks,11 January 1975,4A,10.1,—
75.0,Robot,"""Part Four""",Christopher Barry,Terrance Dicks,18 January 1975,4A,9.0,51
76.0,The Ark in Space,"""Part One""",Rodney Bennett,Robert Holmes,25 January 1975,4C,9.4,—
76.0,The Ark in Space,"""Part Two""",Rodney Bennett,Robert Holmes,1 February 1975,4C,13.6,—
76.0,The Ark in Space,"""Part Three""",Rodney Bennett,Robert Holmes,8 February 1975,4C,11.2,—
76.0,The Ark in Space,"""Part Four""",Rodney Bennett,Robert Holmes,15 February 1975,4C,10.2,—
77.0,The Sontaran Experiment,"""Part One""",Rodney Bennett,Bob Baker and Dave Martin,22 February 1975,4B,11.0,—
77.0,The Sontaran Experiment,"""Part Two""",Rodney Bennett,Bob Baker and Dave Martin,1 March 1975,4B,10.5,55
78.0,Genesis of the Daleks,"""Part One""",David Maloney,Terry Nation,8 March 1975,4E,10.7,—
78.0,Genesis of the Daleks,"""Part Two""",David Maloney,Terry Nation,15 March 1975,4E,10.5,57
78.0,Genesis of the Daleks,"""Part Three""",David Maloney,Terry Nation,22 March 1975,4E,8.5,—
78.0,Genesis of the Daleks,"""Part Four""",David Maloney,Terry Nation,29 March 1975,4E,8.8,58
78.0,Genesis of the Daleks,"""Part Five""",David Maloney,Terry Nation,5 April 1975,4E,9.8,57
78.0,Genesis of the Daleks,"""Part Six""",David Maloney,Terry Nation,12 April 1975,4E,9.1,56
79.0,Revenge of the Cybermen,"""Part One""",Michael E. Briant,Gerry Davis,19 April 1975,4D,9.5,57
79.0,Revenge of the Cybermen,"""Part Two""",Michael E. Briant,Gerry Davis,26 April 1975,4D,8.3,—
79.0,Revenge of the Cybermen,"""Part Three""",Michael E. Briant,Gerry Davis,3 May 1975,4D,8.9,—
79.0,Revenge of the Cybermen,"""Part Four""",Michael E. Briant,Gerry Davis,10 May 1975,4D,9.4,58
80.0,Terror of the Zygons,"""Part One""",Douglas Camfield,Robert Banks Stewart,30 August 1975,4F,8.4,59
80.0,Terror of the Zygons,"""Part Two""",Douglas Camfield,Robert Banks Stewart,6 September 1975,4F,6.1,—
80.0,Terror of the Zygons,"""Part Three""",Douglas Camfield,Robert Banks Stewart,13 September 1975,4F,8.2,54
80.0,Terror of the Zygons,"""Part Four""",Douglas Camfield,Robert Banks Stewart,20 September 1975,4F,7.2,—
81.0,Planet of Evil,"""Part One""",David Maloney,Louis Marks,27 September 1975,4H,10.4,—
81.0,Planet of Evil,"""Part Two""",David Maloney,Louis Marks,4 October 1975,4H,9.9,56
81.0,Planet of Evil,"""Part Three""",David Maloney,Louis Marks,11 October 1975,4H,9.1,57
81.0,Planet of Evil,"""Part Four""",David Maloney,Louis Marks,18 October 1975,4H,10.1,54
82.0,Pyramids of Mars,"""Part One""",Paddy Russell,Stephen Harris (Lewis Greifer and Robert Holmes),25 October 1975,4G,10.5,—
82.0,Pyramids of Mars,"""Part Two""",Paddy Russell,Stephen Harris (Lewis Greifer and Robert Holmes),1 November 1975,4G,11.3,—
82.0,Pyramids of Mars,"""Part Three""",Paddy Russell,Stephen Harris (Lewis Greifer and Robert Holmes),8 November 1975,4G,9.4,—
82.0,Pyramids of Mars,"""Part Four""",Paddy Russell,Stephen Harris (Lewis Greifer and Robert Holmes),15 November 1975,4G,11.7,60
83.0,The Android Invasion,"""Part One""",Barry Letts,Terry Nation,22 November 1975,4J,11.9,58
83.0,The Android Invasion,"""Part Two""",Barry Letts,Terry Nation,29 November 1975,4J,11.3,—
83.0,The Android Invasion,"""Part Three""",Barry Letts,Terry Nation,6 December 1975,4J,12.1,—
83.0,The Android Invasion,"""Part Four""",Barry Letts,Terry Nation,13 December 1975,4J,11.4,—
84.0,The Brain of Morbius,"""Part One""",Christopher Barry,Robin Bland (Terrance Dicks and Robert Holmes),3 January 1976,4K,9.5,—
84.0,The Brain of Morbius,"""Part Two""",Christopher Barry,Robin Bland (Terrance Dicks and Robert Holmes),10 January 1976,4K,9.3,—
84.0,The Brain of Morbius,"""Part Three""",Christopher Barry,Robin Bland (Terrance Dicks and Robert Holmes),17 January 1976,4K,10.1,57
84.0,The Brain of Morbius,"""Part Four""",Christopher Barry,Robin Bland (Terrance Dicks and Robert Holmes),24 January 1976,4K,10.2,—
85.0,The Seeds of Doom,"""Part One""",Douglas Camfield,Robert Banks Stewart,31 January 1976,4L,11.4,59
85.0,The Seeds of Doom,"""Part Two""",Douglas Camfield,Robert Banks Stewart,7 February 1976,4L,11.4,—
85.0,The Seeds of Doom,"""Part Three""",Douglas Camfield,Robert Banks Stewart,14 February 1976,4L,10.3,—
85.0,The Seeds of Doom,"""Part Four""",Douglas Camfield,Robert Banks Stewart,21 February 1976,4L,11.1,—
85.0,The Seeds of Doom,"""Part Five""",Douglas Camfield,Robert Banks Stewart,28 February 1976,4L,9.9,—
85.0,The Seeds of Doom,"""Part Six""",Douglas Camfield,Robert Banks Stewart,6 March 1976,4L,11.5,—
86.0,The Masque of Mandragora,"""Part One""",Rodney Bennett,Louis Marks,4 September 1976,4M,8.3,58
86.0,The Masque of Mandragora,"""Part Two""",Rodney Bennett,Louis Marks,11 September 1976,4M,9.8,56
86.0,The Masque of Mandragora,"""Part Three""",Rodney Bennett,Louis Marks,18 September 1976,4M,9.2,—
86.0,The Masque of Mandragora,"""Part Four""",Rodney Bennett,Louis Marks,25 September 1976,4M,10.6,56
87.0,The Hand of Fear,"""Part One""",Lennie Mayne,Bob Baker and Dave Martin,2 October 1976,4N,10.5,—
87.0,The Hand of Fear,"""Part Two""",Lennie Mayne,Bob Baker and Dave Martin,9 October 1976,4N,10.2,—
87.0,The Hand of Fear,"""Part Three""",Lennie Mayne,Bob Baker and Dave Martin,16 October 1976,4N,11.1,62
87.0,The Hand of Fear,"""Part Four""",Lennie Mayne,Bob Baker and Dave Martin,23 October 1976,4N,12.0,—
88.0,The Deadly Assassin,"""Part One""",David Maloney,Robert Holmes,30 October 1976,4P,11.8,—
88.0,The Deadly Assassin,"""Part Two""",David Maloney,Robert Holmes,6 November 1976,4P,12.1,59
88.0,The Deadly Assassin,"""Part Three""",David Maloney,Robert Holmes,13 November 1976,4P,13.0,—
88.0,The Deadly Assassin,"""Part Four""",David Maloney,Robert Holmes,20 November 1976,4P,11.8,61
89.0,The Face of Evil,"""Part One""",Pennant Roberts,Chris Boucher,1 January 1977,4Q,10.7,61
89.0,The Face of Evil,"""Part Two""",Pennant Roberts,Chris Boucher,8 January 1977,4Q,11.1,—
89.0,The Face of Evil,"""Part Three""",Pennant Roberts,Chris Boucher,15 January 1977,4Q,11.3,59
89.0,The Face of Evil,"""Part Four""",Pennant Roberts,Chris Boucher,22 January 1977,4Q,11.7,60
90.0,The Robots of Death,"""Part One""",Michael E. Briant,Chris Boucher,29 January 1977,4R,12.8,62
90.0,The Robots of Death,"""Part Two""",Michael E. Briant,Chris Boucher,5 February 1977,4R,12.4,—
90.0,The Robots of Death,"""Part Three""",Michael E. Briant,Chris Boucher,12 February 1977,4R,13.1,—
90.0,The Robots of Death,"""Part Four""",Michael E. Briant,Chris Boucher,19 February 1977,4R,12.6,57
91.0,The Talons of Weng-Chiang,"""Part One""",David Maloney,Robert Holmes,26 February 1977,4S,11.3,—
91.0,The Talons of Weng-Chiang,"""Part Two""",David Maloney,Robert Holmes,5 March 1977,4S,9.8,—
91.0,The Talons of Weng-Chiang,"""Part Three""",David Maloney,Robert Holmes,12 March 1977,4S,10.2,—
91.0,The Talons of Weng-Chiang,"""Part Four""",David Maloney,Robert Holmes,19 March 1977,4S,11.4,60
91.0,The Talons of Weng-Chiang,"""Part Five""",David Maloney,Robert Holmes,26 March 1977,4S,10.1,—
91.0,The Talons of Weng-Chiang,"""Part Six""",David Maloney,Robert Holmes,2 April 1977,4S,9.3,58
92.0,Horror of Fang Rock,"""Part One""",Paddy Russell,Terrance Dicks,3 September 1977,4V,6.8,58
92.0,Horror of Fang Rock,"""Part Two""",Paddy Russell,Terrance Dicks,10 September 1977,4V,7.1,—
92.0,Horror of Fang Rock,"""Part Three""",Paddy Russell,Terrance Dicks,17 September 1977,4V,9.8,60
92.0,Horror of Fang Rock,"""Part Four""",Paddy Russell,Terrance Dicks,24 September 1977,4V,9.9,57
93.0,The Invisible Enemy,"""Part One""",Derrick Goodwin,Bob Baker and Dave Martin,1 October 1977,4T,8.6,—
93.0,The Invisible Enemy,"""Part Two""",Derrick Goodwin,Bob Baker and Dave Martin,8 October 1977,4T,7.3,—
93.0,The Invisible Enemy,"""Part Three""",Derrick Goodwin,Bob Baker and Dave Martin,15 October 1977,4T,7.5,—
93.0,The Invisible Enemy,"""Part Four""",Derrick Goodwin,Bob Baker and Dave Martin,22 October 1977,4T,8.3,60
94.0,Image of the Fendahl,"""Part One""",George Spenton-Foster,Chris Boucher,29 October 1977,4X,6.7,—
94.0,Image of the Fendahl,"""Part Two""",George Spenton-Foster,Chris Boucher,5 November 1977,4X,7.5,75
94.0,Image of the Fendahl,"""Part Three""",George Spenton-Foster,Chris Boucher,12 November 1977,4X,7.9,—
94.0,Image of the Fendahl,"""Part Four""",George Spenton-Foster,Chris Boucher,19 November 1977,4X,9.1,61
95.0,The Sun Makers,"""Part One""",Pennant Roberts,Robert Holmes,26 November 1977,4W,8.5,—
95.0,The Sun Makers,"""Part Two""",Pennant Roberts,Robert Holmes,3 December 1977,4W,9.5,—
95.0,The Sun Makers,"""Part Three""",Pennant Roberts,Robert Holmes,10 December 1977,4W,8.9,68
95.0,The Sun Makers,"""Part Four""",Pennant Roberts,Robert Holmes,17 December 1977,4W,8.4,59
96.0,Underworld,"""Part One""",Norman Stewart,Bob Baker and Dave Martin,7 January 1978,4Y,8.9,65
